name,date,time,value
T2M,1/7/2009,6:00:00,290.652
D2M,1/7/2009,6:00:00,286.61
pm1,1/7/2009,9:00:00,1.30E-08
pm2p5,1/7/2009,9:00:00,1.95E-08
pm10,1/7/2009,9:00:00,2.62E-08
U10M,1/7/2009,9:00:00,2.25825
V10M,1/7/2009,9:00:00,0.166999
T2M,1/7/2009,9:00:00,288.451
D2M,1/7/2009,9:00:00,286.448
pm1,1/7/2009,12:00:00,1.47E-09
pm2p5,1/7/2009,12:00:00,2.00E-09
pm10,1/7/2009,12:00:00,2.80E-09
U10M,1/7/2009,12:00:00,-2.19802
V10M,1/7/2009,12:00:00,-2.55609
T2M,1/7/2009,12:00:00,287.662
D2M,1/7/2009,12:00:00,286.567
pm1,1/7/2009,15:00:00,1.94E-09
pm2p5,1/7/2009,15:00:00,2.62E-09
pm10,1/7/2009,15:00:00,3.64E-09
U10M,1/7/2009,15:00:00,-3.03793
V10M,1/7/2009,15:00:00,-2.71517
T2M,1/7/2009,15:00:00,287.961
D2M,1/7/2009,15:00:00,286.63
pm1,1/7/2009,18:00:00,2.54E-09
pm2p5,1/7/2009,18:00:00,3.48E-09
pm10,1/7/2009,18:00:00,4.82E-09
U10M,1/7/2009,18:00:00,-2.8192
V10M,1/7/2009,18:00:00,-1.8012
T2M,1/7/2009,18:00:00,289.043
D2M,1/7/2009,18:00:00,286.158
pm1,1/7/2009,21:00:00,3.13E-09
pm2p5,1/7/2009,21:00:00,4.33E-09
pm10,1/7/2009,21:00:00,5.95E-09
U10M,1/7/2009,21:00:00,-2.15136
V10M,1/7/2009,21:00:00,-1.5568
T2M,1/7/2009,21:00:00,288.489
D2M,1/7/2009,21:00:00,283.244
pm1,1/8/2009,0:00:00,1.32E-08
pm2p5,1/8/2009,0:00:00,1.80E-08
pm10,1/8/2009,0:00:00,2.48E-08
U10M,1/8/2009,0:00:00,-3.01982
V10M,1/8/2009,0:00:00,-2.242
T2M,1/8/2009,0:00:00,288.532
D2M,1/8/2009,0:00:00,284.275
pm1,1/8/2009,3:00:00,1.03E-08
pm2p5,1/8/2009,3:00:00,1.41E-08
pm10,1/8/2009,3:00:00,1.95E-08
U10M,1/8/2009,3:00:00,-3.271
V10M,1/8/2009,3:00:00,-1.60512
